ID,title,author,price,stock
3fa85f64-5717-4562-b3fc-2c963f66afa6,The Great Gatsby,F. Scott Fitzgerald,15.99,25
7d444840-9dc0-11d1-b245-5ffdce74fad2,To Kill a Mockingbird,Harper Lee,12.50,40
9a8b7c6d-1234-4abc-9def-1234567890ab,1984,George Orwell,14.00,30
1c6fa3d2-5b6e-4c7a-8f9d-0a1b2c3d4e5f,Pride and Prejudice,Jane Austen,10.75,18
5e2f9a01-3d4c-4f6b-9c2a-8d7e6f5a4b3c,The Catcher in the Rye,J.D. Salinger,13.20,22
2b1c0d9e-8f7a-4b6c-9d5e-1f2a3b4c5d6e,Moby Dick,Herman Melville,17.80,12
6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e6f,War and Peace,Leo Tolstoy,20.00,10
8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c2d,The Hobbit,J.R.R. Tolkien,16.40,35
0f1e2d3c-4b5a-4978-9c6d-5e4f3a2b1c0d,Harry Potter and the Sorcerer’s Stone,J.K. Rowling,18.99,50
abcd1234-5678-4ef0-9abc-123456789def,The Alchemist,Paulo Coelho,11.60,28
